skills,job_role
sales customer relationship management communication teamwork problem solving adaptability time management customer focus negotiation management strategic planning market analysis financial analysis training and development project management data analysis leadership growth mindset influencing coaching,Regional Sales Leader
cash handling basic math skills stocking merchandise selling skills inventory management basic computer skills lifting 50 lbs communication teamwork customer service independence enthusiasm problem solving adaptability time management POS (Point of Sale) system,Retail Sales Associate (Part Time)
sales territory management product knowledge diagnostic solutions communication tools customer relationship management presentation skills medical knowledge self-motivation teamwork pressure handling attention to detail goal-oriented coaching openness ethical commitment service orientation,Field Sales Representative
relationship management strategic thinking business acumen market execution communication team leadership problem solving collaboration adaptability trust building goal setting motivation sales analytics data analysis Microsoft Office beverage industry knowledge trade analytics distribution management cultural awareness,Territory Sales Manager
Problem Solving Networking Communication Interpersonal Skills Organizational Skills Self-Starter Work Ethic Client Relationship Management Team Collaboration Adaptability B2B Sales Consultative Selling CRM Software (SFDC) Sales Forecasting Mathematical Aptitude Presentation Skills Telemarketing Sales Database Management Time Management Ethical Business Practices,"Major Market Sales Executive, Field – Herndon, VA"
sales customer service communication commission-based sales closing sales training competitive spirit drive for success coachable teamwork adaptability real estate license appointment setting valid driver's license,New Home Sales Consultant
sales strategic planning client relationship management communication listening multitasking personable coachable charismatic CRM software Google Docs,Sales Manager
client relationship management digital marketing hospitality industry knowledge social media marketing integrated technologies leadership communication interpersonal skills teamwork initiative customer service problem solving flexibility coaching professionalism motivation relationship building adaptability sales management revenue management marketing strategy financial analysis data analysis budgeting CRM software presentation skills contract negotiation market research event planning confidentiality,Director of Sales and Marketing
"MS Office Suite Project Management Troubleshooting Techniques Communication Skills Teamwork Organizational Skills Time Management Customer Service Orientation Self-Motivation Attention to Detail Decision Making Adaptability Adobe Visio Smartsheet Mathematical Computations Technical Solution Design Professional Certifications (Axis, Milestone, Avigilon)",Sales Administrative Assistant
communication customer relationship management self-motivation outside business to business sales flooring industry knowledge electrical industry knowledge kitchen & bath industry knowledge commercial construction knowledge territory management negotiation team collaboration,Territory Sales Executive
sales negotiation consultative selling contact management database communication problem solving self-motivation strategic thinking relationship building drive freight forwarding presentation supply chain management transportation and logistics knowledge PowerPoint profit and loss statement understanding enthusiasm,Sales Executive (Freight Forwarding)
sales client relationship management training communication problem solving flexibility customer service persuasion healthcare solutions remote work,Senior Sales Specialist
sales leadership leadership communication team motivation customer satisfaction relationship building results-oriented mindset collaboration cold chain logistics temperature-controlled packaging solutions strategic sales planning sales forecasting negotiation market analysis business development reporting strategic thinking,Sales Director
retail sales customer service visual merchandising inventory management product knowledge teamwork communication adaptability problem solving customer relationship building respectfulness accountability positive attitude sales metrics analysis alteration fitting team selling,Seasonal Sales Associate
Continuous Learning Communication Interpersonal Skills Team Collaboration Goal-Oriented Problem Solving Adaptability Customer Engagement Time Management SAP Services B2B Sales Enterprise Software Solutions Sales Process Management Proposal Development Customer Relationship Management Market Research Sales Strategy SAP Module Implementation Influencing Skills Creativity,Sales Director - SAP Projects
Communication Self-Motivation Proactivity Collaboration Adaptability Problem Solving B2B Sales Sales Cycle Management Technical Aptitude Market Intelligence Product Knowledge (3D Printers) Negotiation Skills Customer Relationship Management Presentation Skills Lead Generation Travel Readiness,Field Sales Executive – Industrial Printers [3D / 2D] 
time management communication goal-oriented self-discipline positive attitude organization problem-solving personal development adaptability professional demeanor sales management consultative sales marketing team development strategic alliances SaaS knowledge sales strategy development presentation skills performance monitoring leadership,Sales Manager
sales communication relationship building problem solving teamwork customer engagement CRM sales tools business development product training sales reporting capital equipment sales market knowledge pipeline management travel management adaptability strategic planning negotiation,Area Sales Manager
retail sales customer service sales metrics team selling product knowledge teamwork communication adaptability problem solving customer relationship building respectfulness accountability positive attitude visual merchandising alteration fitting inventory management,Seasonal Sales Associate
customer engagement teamwork communication self-motivation customer service problem solving golf retail sales golf fitting product knowledge club fitting principles simulator operation launch monitor technologies equipment recommendations flexibility,Seasonal Golf Club Fitter / Retail Sales Associate
communication relationship building time management outside sales property management sales construction market sales commission-based income hybrid work environment self-motivation negotiation,Outside Sales Representative
customer service attention to detail organizational skills communication multitasking prioritization order processing administrative tasks data entry computer proficiency knowledge of PVF industry,Inside Sales Representative
teamwork communication organizational skills attention to detail self-motivation multitasking interpersonal skills sales strategies hospitality sales market research negotiation account management marketing initiatives Envision Sales Hyatt systems data analysis leadership,Director of Sales and Marketing
CRM sales reporting communication self-starter multi-tasking organization prioritization cold calling email communication lead generation company research competitive,Inside Sales Representative
sales experience Salesforce prospecting cold calling client needs analysis communication customer focus achievement orientation teamwork CRM tools online meeting tools Microsoft Office sales presentations sales forecasting self-directed continuous learning negotiation adaptability,Inside Sales Representative II
sales customer service presentation skills relationship management computer skills multi-tasking lead management teamwork communication problem solving initiative pressure management follow-up skills hospitality industry knowledge research skills strategic planning integrity self-awareness,National Sales Manager
Computer Networking Project Management MS Office Communication Self-Motivation Organizational Skills Analytical Skills Leadership Adaptability Customer Service CCTV Technical Presentations Product Training MS Project Technical Support IP CCTV Products Video Surveillance Equipment Problem Diagnosis Collaboration,Sales Engineer
financial analysis data analytics Excel communication collaboration problem solving organizational skills adaptability trust building budget forecasting financial modeling financial reporting software SQL Tableau Hyperion marketing ROI analysis customer lifetime value analysis team leadership curiosity,"Director, Finance"
financial analysis accounting finance reporting systems analytical support expense control reporting attention to detail problem solving tenacity ability to work under pressure communication teamwork invoice processing vendor management curiosity,2024 Finance Summer Internship
Advanced Excel Financial Planning & Analysis Team Management Communication Collaboration Strategic Planning Problem Solving FP&A SAP S/4HANA Power BI Tableau Variance Analysis Inventory Reporting COGS Systems Integration Leadership Presentation Skills,Director of Finance
"financial analysis financial reporting accounting principles Microsoft Excel team leadership team development receivables management order to cash (O2C) process record to report (R2R) process financial systems ERP platforms (SAP, Oracle)",Finance Manager/Director - Receivables & Order to Cash Specialist
financial modeling financial analysis Microsoft Excel data analysis reporting forecasting accounting financial services problem solving communication analytical thinking attention to detail innovation teamwork,Finance Manager
accounting finance management Microsoft Office Suite Excel budget preparation financial reporting cost efficiency analysis tax management communication organization detail-oriented leadership problem solving teamwork adaptability Peoplesoft bank reconciliations inventory record keeping,Assistant Director of Finance-Kimpton George Hotel
financial management budgeting account reconciliation financial reporting accounts payable management leadership communication interpersonal skills analytical skills organizational skills collaboration presentation skills problem solving forecasting profit and loss reporting GAAP compliance ERP systems (Great Plains) lease accounting public accounting financial statement preparation,Senior Director of Finance or Controller
budgeting forecasting financial analysis accounting ERP accounting software financial reporting interpersonal skills relationship building attention to detail communication team collaboration problem solving Microsoft Excel FP&A software,Event Finance Manager
compliance financial analysis risk assessment report writing data analysis project management business development communication teamwork problem solving leadership adaptability client relationship management organizational skills collaboration banking regulatory knowledge consumer protection regulations,"Consultant, Financial Services, Consumer Finance l Forensic and Litigation Consulting"
accounting finance payroll management budgeting bank reconciliation QuickBooks data analysis strategic planning teamwork communication analytical skills independent work organizational skills confidentiality adaptability client interaction problem solving economics Microsoft Excel Microsoft Word Microsoft PowerPoint Microsoft Outlook Adobe presentation skills,Finance and Admin Manager
Accounting Financial Analysis General Ledger Management Budgeting and Forecasting Cash Flow Management Internal Controls Team Leadership Communication Collaboration Problem Solving Mentoring Analytical Thinking Attention to Detail Adaptability Trustworthiness CPA Financial Statements Preparation Tax Compliance Investment Accounting Trust Account Management 401K Administration,"Manager, Accounting & Finance | Family Office"
customer service computer proficiency time management communication attention to detail work ethic relationship building prioritization automotive finance insurance management deal structuring leasing state law compliance decision-making,Auto Finance & Insurance Manager - City Auto Group
financial analysis budgeting accounting principles financial operations management communication interpersonal skills adaptability strategic thinking forecasting Reynolds and Route One software automotive industry knowledge,Senior Finance Manager
financial analysis accounting principles MS Office Excel regulatory compliance leadership communication results-oriented forecasting financial management software data analytics budget management PowerPoint audit processes financial modeling organizational skills team-oriented mindset proactive self-motivated,Finance Director
financial reporting data analysis financial statements preparation financial compliance strategic thinking communication problem solving team development collaboration adaptability innovation financial planning and analysis financial modeling budgeting forecasting capital allocation scenario analysis financial systems implementation leadership project management mentorship,Senior Director of Finance
Gap Analysis Reports Development Analytical Thinking Problem Solving Communication Collaboration Attention to Detail PeopleSoft FSCM SDLC Business Requirements Gathering Application Configuration Interface Development Enhancements Conversion Specifications System Testing Integration Testing UAT,PeopleSoft Finance Techno-Functional Consultant
Accounting Principles Regulatory Requirements Financial Reporting GAAP Standards Budgeting Forecasting Internal Controls Tax Reporting Public Accounting Experience Leadership Communication Collaboration Analytical Skills Problem Solving Presentation Skills Task Management CPA License,Finance Accounting Manager
finance communication attention to detail time management organizational skills persuasion teamwork analytical skills leadership negotiation accounting budgeting financial analysis zero based budgeting (ZBB) expense forecasting SAP FICO SAP SAC Blackline Business Objects Business Intelligence SQL queries project management data management financial reporting automated BI tools conflict resolution,"Sr Manager Finance (Calhoun, Georgia, United States, 30701)"
financial management accounting financial reporting budgeting QuickBooks Microsoft Office data analysis audit coordination policy development vendor management teamwork communication attention to detail self-motivation organizational skills confidentiality analytical thinking strategic thinking,Finance Manager
financial management accounting budgeting auditing revenue management cash flow management financial forecasting cost benefit analysis collaboration communication leadership strategic planning problem solving ownership teamwork GAAP tax administration investment management,Finance Director
receivables monetization financial analysis data analysis documentation review communication teamwork problem solving adaptability client relationship management drive collaboration attention to detail time management interpersonal skills securitization asset based lending supplier finance products credit risk assessment transaction management regulatory compliance modeling structuring experience,"Vice President, Portfolio & Transaction Management - Value Chain Finance"
financial analysis risk assessment quantitative methods cash flow projections capital allocation reporting accounting budgeting forecasting analytical skills attention to detail collaboration communication strategic thinking creativity professionalism can-do attitude financial modeling cost of ownership calculations,Finance and Strategy Associate
accounting finance Microsoft Excel budget preparation general ledger reconciliation client service communication time management problem solving analytical skills attention to detail interpersonal skills self-starting attitude critical thinking teamwork project accounting revenue recognition invoicing Salesforce,Client Finance Analyst I
trade finance banking principles business relationship management marketing communication collaboration trade instrumentation UCP 600 guidelines negotiation independence,Trade Finance Associate
project management project management tools budget management communication leadership critical thinking problem solving time management detail-oriented project management frameworks change management business requirement documents quality assurance negotiation,Finance Project Leader
relationship management leadership communication team collaboration problem solving networking debt acquisition equity acquisition financial analysis negotiation real estate finance risk mitigation market analysis joint venture agreements investor relations term sheet creation strategic thinking,"VP, Finance and Investor Relations "
financial analysis administration energy sector knowledge independent oversight problem solving communication analytical thinking decision making attention to detail team collaboration project finance credit monitoring portfolio management credit risk assessment amendment/consent/waiver analysis infrastructure knowledge oil & gas knowledge mining knowledge,"Project Finance Portfolio Management, Director "
financial analysis auditing accounting strategic planning performance metrics business case development communication relationship management teamwork problem solving leadership adaptability customer focus data visualization financial modeling advanced analytics risk management innovative thinking influencing mentorship,Finance Manager (US)
financial modeling data analysis investment research finance analytical skills communication initiative resourcefulness Excel accounting valuation teamwork attention to detail multi-tasking,"Global Investment Research, Regional Banks and Consumer Finance, Associate"
financial oversight budgeting financial analysis accounting HR management operations management reporting requirements data analysis financial statements preparation software systems adoption leadership interpersonal skills team management communication collaboration problem solving detail-oriented relationship building strategic planning QuickBooks policy development grant management equity and inclusion advocacy,Finance and Operations Director
accounting finance US GAAP internal controls data analysis financial forecasting process improvement financial metrics communication presentation skills teamwork problem solving analytical thinking adaptability cost accounting SAP SARBES-OXLEY,Sr Finance Analyst
financial transactions advanced computer skills office software proficiency report creation data analysis project management vendor management communication customer service attention to detail organizational skills problem solving teamwork independence initiative decision-making interpersonal skills budget management facilities management Stanford financial systems,Finance and Building Administrator
Design Discussion Facilitation Team Collaboration SAP CFIN Material Master UOM Material Type Valuation Class Customer Management Vendor Management G/L Configuration G/L Testing,SAP CFIN Consultant - Central Finance
Ph.D. in Finance CFA Charter College Level Teaching Experience Research in Finance Advising Students Curriculum Development Teaching Excellence Student Development Mentoring Collaboration Communication Diversity and Inclusion,Assistant Professor of Finance
financial analysis financial reporting accounts payable accounts receivable accounting principles Microsoft Excel tax regulations analytical skills communication attention to detail independence collaboration financial modeling financial analysis software CPA certification,Finance Specialist
financial management financial modeling data analysis forecasting Excel PowerPoint Oracle Hyperion interpersonal skills collaboration problem solving adaptability leadership communication intellectual curiosity results-driven,Finance Manager
documentation financial analysis leadership communication relationship building problem solving presentation skills strategic thinking project finance debt financing tax equity financial modeling sensitivity analysis due diligence capital markets,Director/VP Project Finance 
financial reporting compliance team leadership analytical skills accounting communication interpersonal skills mentorship collaboration problem solving adaptability financial strategy budgeting forecasting risk management investment analysis financial modeling private equity venture capital MBA CPA strategic thinking,Vice President Finance
Microsoft Excel Microsoft Office Spreadsheet creation Time management Organization Communication Problem solving SAP Chart creation Pivot tables,Finance Administrator
Insurance Management Attention to Detail Organizational Skills Multitasking Communication Skills Interpersonal Skills Collaboration US Payroll Processing Tax Regulations Compliance Financial Planning and Analysis Financial Reporting ADP Software Financial Software (Excel) 401(K) Administration Invoice Processing Contract Administration Confidentiality,Assistant Vice President Finance
analytical skills interpersonal skills mentoring communication relationship management teamwork leadership financial modeling Bloomberg Excel PowerPoint Aladdin platform credit risk assessment high yield bonds leveraged loans capital markets,"Fundamental Fixed Income (FFI) - Director, Leveraged Finance Research"
budgeting project management leadership communication interpersonal skills problem solving analytical skills teamwork adaptability strategic thinking financial planning forecasting financial analysis financial modeling GAAP financial reporting Anaplan Excel Netsuite Salesforce Tableau critical reasoning influencing,Head of Corporate Finance (Sr. Director / Director)
financial strategy corporate budgeting financial reporting operational efficiency finance and accounting systems payroll administration accounts payable accounts receivable expense processing compliance standards leadership communication collaboration problem solving training policy development,Director of Finance And Accounting
organizational skills attention to detail collaboration communication relationship building problem solving leadership financial planning budgeting financial analysis cost accounting forecasting financial reporting operational efficiency project management accounting procedures data analysis knowledge of NewStar knowledge of IBM TM1 residential home building experience land acquisition analysis vendor management proactive attitude,Vice President of Finance
"Financial Accounting Project System Management Accounting Teamwork Communication Analytical Skills Customer Orientation Results-Oriented Independence Time Management High-Quality Deliverables SAP General Ledger Accounts Payable Accounts Receivable Fixed Asset Accounting Inter-Company Accounting FI Integration S/4 HANA Test Planning Cutover Planning Post Go-Live Planning ERP Modules (MM, HR, PP, PM)",Sap Finance Control Consultant
financial analysis client account management software tools utilization proactive approach client-friendly teamwork adaptability excel financial modeling enthusiasm work-life balance,Sr. Finance Analyst
Problem-Solving Communication Skills Interpersonal Skills Teamwork Relationship Building Oracle HR Oracle Applications Integration Techniques Oracle Fusion Technology General Ledger Fixed Assets Cash Management ERP Systems Business Process Consulting Relevant Certifications in Oracle Finance Analytical Skills Active Listening Independence,Oracle Finance  Fusion Lead
financial analysis project management MS Office Suite Excel business acumen critical thinking analytical skills organizational skills problem solving communication leadership interpersonal skills professionalism adaptability team collaboration financial modeling underwriting C++ Python financial due diligence,"Vice President, Finance Investments"
finance accounting financial oversight business operations financial recommendations supervision project management communication commitment partnership,Fractional Finance Consultant
revenue forecasting analytical skills quantitative skills communication collaboration adaptability problem solving sales methodologies prospecting negotiating closing product demonstrations consultative sales customer feedback incorporation,"Account Executive, Finance Cloud"
financial analysis financial reporting budgeting risk assessment market research business writing cash flow projections variance analysis strategic planning presentation skills leadership communication analytical thinking attention to detail initiative integrity teamwork self-starter asset management real estate financial modeling investor relations property management,"Associate / Associate Director of Asset Management, Finance, and Investor Relations"
financial reporting accounting processes Microsoft Office Suite foreign currency hedging process improvement attention to detail communication team collaboration time management adaptability self-motivation SAP project documentation invoicing order entry,Finance / Project Assistant
financial management financial modeling investment analysis budget management risk assessment strategic planning strategic thinking problem solving leadership collaboration communication analytical skills analytics tools ERP systems forecasting resource allocation financial governance infrastructure forecasting organizational change management,"Director, R&D Finance"
operations management cost forecasting revenue forecasting strategic thinking collaboration communication problem solving leadership client advisory payments processing embedded finance payment platforms banking SLA negotiation API familiarity software development consensus building,Product Strategist - Embedded Finance
Financial Accounting Data Analysis Cost-Benefit Analysis Communication Collaboration Problem Solving Customer Focus Leadership Adaptability Strategic Thinking Teamwork SAP ERP Product Management Stakeholder Management S/4 HANA Agile Methodologies Requirements Elicitation ERP Implementation Technical Writing Project Management Tools SOX Compliance Six Sigma Oracle Cloud ERP Negotiation Influence,SAP Product Manager (S/4 HANA - RTR Finance )
financial analysis strategic planning data analytics automation cash flow management budgeting data interpretation leadership collaboration problem solving communication adaptability critical thinking continuous learning risk management working capital management financial modeling SQL MS Access Oracle SAP variance analysis,"Finance Manager, Ops Finance IPAT"
financial analysis strategic planning data analysis reporting communication interpersonal skills action-oriented problem-solving collaboration adaptability subscription-based business models revenue modeling Excel modeling Google Workspace SQL data visualization influence storytelling,Strategic Finance Analyst
financial analysis budget preparation statistical reporting variance analysis financial reporting project management data consolidation risk identification financial modeling communication teamwork leadership problem solving adaptability analytical thinking coaching cost modeling,Finance Analyst - Electrolyzers
operational finance financial analysis budget preparation entrepreneurial mentality communication problem solving analytical thinking collaboration FP&A SaaS industry experience degree in finance degree in accounting advanced Excel M&A due diligence recurring revenue models,Finance Manager (SaaS) 
accounting financial reporting financial analysis budgeting Microsoft Office Suite data analysis internal controls financial systems cash flow management financial statements preparation cost management capital project management leadership communication analytical skills problem solving teamwork organizational skills adaptability proactive approach continuous learning attention to detail multitasking forecasting derivatives business development risk management creativity networking mental toughness entrepreneurial mindset,Vice President Finance
financial reporting variance analysis budgeting financial forecasting GAAP MS Excel data analysis SQL MS Access compliance auditing communication leadership problem solving initiative independent judgment relationship building integrity collaboration presentation skills adaptability capital planning financial modeling PowerPoint cash flow projections,"Sr. Finance Manager, Capital Planning"
financial management accounting financial forecasting budgeting cost analysis GAAP compliance DCAA audits financial reporting financial analysis internal controls leadership communication strategic planning team management negotiation problem solving mentoring analytical thinking adaptability collaboration job costing payroll management Deltek systems administration cash flow management tax compliance government contracting,Director of Finance
financial reporting data visualization project management analytical tools communication collaboration problem solving interpersonal skills leadership time management adaptability continuous improvement data analytics PowerBI Tableau SAP data aggregation supply chain finance intellectual curiosity coaching,Manager Supply Chain Finance Standardization
Leadership Communication Mentorship Relationship Building Team Collaboration Financial Operations FP&A Budgeting Cash Flow Management KPI Analysis Accounting Oracle NetSuite ERP Financial Reporting Cost Analysis M&A Experience Tax Compliance Audit Coordination Financial Modeling Analytical Thinking Detail-Oriented Problem Solving Adaptability Entrepreneurial Mindset,Director of Finance
financial analysis budgeting forecasting P&L management presentation development project management process improvement communication problem solving collaboration influencing prioritization delegation analytical thinking leadership financial modeling methodology development,"Manager, FP&A-Strategic Tech Finance"
Leadership Collaboration Problem Solving Communication Continuous Improvement ETL ELT SQL NoSQL Postgres Spark Scala Java Python C# Docker Kubernetes Azure Powershell Git GraphDB Big Data Hive Kafka Gatling Dynatrace Grafana Spring Boot REST GraphQL CI/CD PowerBI Qlik Microstrategy Mentoring Adaptability Psychological Safety,Staff Data Engineer - People & Finance Tech (Remote)
accounting finance Excel PowerPoint forecasting financial reporting budgeting GAAP data analysis multi-tasking communication analytical thinking presentation skills organizational skills flexibility team collaboration problem solving time management TM1 SAP IFRS royalty payments headcount reporting,Finance Manager
accounting finance financial software financial reporting financial analysis organizational skills time management communication interpersonal skills attention to detail problem solving teamwork GAAP Excel grant accounting,Volunteer: Opportunity Alert: Finance Coordinator needed for Cyber Defense & Intelligence Center
"budgeting forecasting financial analysis financial reporting ERP systems (Oracle, SAP) advanced Excel accounting principles performance indicators communication presentation skills leadership collaboration analytical thinking strategic thinking problem solving financial planning",Finance Manager
market analysis marketing strategy teamwork communication problem solving leadership strategic thinking adaptability project finance negotiation credit analysis financial modeling portfolio management business origination loan documentation energy infrastructure customer relationship management financial services regulatory compliance mentoring customer service,"Lead Relationship Manager, Project Finance - Power and Renewable Energy"
financial reporting accounting data analysis general ledger management financial statements preparation internal accounting control balance sheet analysis communication analytical skills team management problem solving Jenzabar Cognos audit coordination banking relationships presentation,Director of Finance
financial analysis financial oversight project management communication teamwork problem solving independence integrity accountability M&A valuation modeling FP&A oversight business intelligence applications scenario analysis valuation concepts and methods market evaluation collaboration curiosity adaptability creativity,Finance Leader - Corporate Development
ERP implementation financial forecasting accounting protocols business process optimization mergers and acquisitions integration leadership mentoring cross-functional collaboration communication strategic thinking problem solving relationship management ROI analysis monthly pricing analysis net working capital management risk assessment,Director of Finance
financial planning and analysis budget management data presentation business metrics development project management supervisory experience cost analysis communication collaboration problem solving independence adaptability leadership results-driven dealing with ambiguity operating expense projections financial advisory support risk management,"Senior Finance Manager,  BTS Shared Services"
Accounting Principles Financial Management Accounting Software Analytical Skills Time Management Data Presentation Leadership Project Management Teamwork Communication Interpersonal Skills Resourcefulness Creativity Motivation Relationship Building CPA Licensure Grant Management Diversity Awareness,Sr. Director of Accounting and Finance
Accounting Financial Analysis Budget Preparation Financial Reporting Regulatory Compliance Internal Controls Management Control Systems Cash Management General Ledger Management Payroll Management Accounts Payable Accounts Receivable Training and Development Leadership Communication Teamwork Problem Solving Analytical Thinking Attention to Detail Time Management Interpersonal Skills Decision Making Adaptability Conflict Resolution Mentoring CPA Statistical Analysis Cost Reimbursement Reporting Financial Audits Fixed Assets Management Financial Policies,Director of Finance
financial analysis Microsoft Excel Microsoft PowerPoint writing skills presentation skills attention to detail critical thinking communication initiative teamwork time management proactive capital markets knowledge Microsoft Word,Syndicated & Leveraged Finance Analyst
accounting financial analysis budgeting cash flow management Microsoft Office Suite project management data processing communication detail-oriented organizational skills critical thinking leadership adaptability teamwork problem solving financial modeling PeopleSoft tax compliance coaching,Director of Finance-Kimpton Armory Hotel Bozeman
data management data analysis data governance financial products knowledge excel MS Office data quality remediation presentation skills communication problem solving critical thinking relationship management self-motivation team collaboration project management mentoring adaptability JIRA process mapping data lineage data quality tools,Finance Product Data Owner
accounting principles communication teamwork financial management liquidity management asset/liability management (ALM) profitability reporting financial analysis cost accounting data analytics CPA CFA financial forecasting strategic planning leadership problem solving advisory skills engagement ownership,Vice President Finance
Financial Reporting Project Management Cash Flow Management Consolidated Financial Statements Budgeting Forecasting Tools Financial Management Communication Organization Teamwork Problem Solving Leadership Analytical Thinking CPA MBA US GAAP IFRS FP&A Financial Systems Implementation Financial Analysis Cost Allocation SEC Reporting Internal Control Policy Process Redesign Software Requirements Definition Customer Service Adaptability Attention to Detail Collaboration,Finance Accounting Consultant
advanced excel cost accounting managerial accounting financial reporting data analysis invoice auditing teamwork communication customer service time management organization problem solving self-motivation adaptability incentive program management financial close process,Finance Accounting Associate
financial training finance relationship management verbal communication written communication travel management teamwork problem solving adaptability time management presentation skills strategic thinking lease training secured transactions deal pricing credit understanding consultative selling solution selling equipment finance negotiation customer service,Finance Sales Manager - Remote
financial management budget analysis cost accounting cash flow analysis Microsoft Excel accounting principles professional accounting qualification (ACCA/CPA/CIMA) communication analytical skills organizational skills project administration adaptability problem solving time management teamwork attention to detail profitability analysis Microsoft PowerPoint SharePoint VBA SQL Power BI RPA,Operations Finance Analyst II
finance accounting forecasting budget management financial operations leadership development FP&A data analysis communication team collaboration adaptability problem solving ambition geographical mobility workforce management,Finance Support Manager
accounting finance negotiation customer service data management communication interpersonal skills motivation detail-oriented teamwork recruitment job sourcing candidate screening networking,Accounting & Finance Recruiting Associate
financial reporting budgeting accounting internal controls auditing financial analysis cost management performance measurement project evaluation leadership communication team management interpersonal skills problem solving strategic thinking employee relations training and development adaptability hospitality industry experience contract negotiation purchasing systems capital budgeting customer service,Director of Finance
financial analysis budgeting strategic planning financial regulations accounting principles risk assessment data analysis leadership communication collaboration problem solving interpersonal skills strategic thinking relationship building teamwork forecasting financial reporting return on investment analysis CPA MBA mentoring inspiration,"VP, Technology Finance"
headcount forecasting Oracle Hyperion Essbase data management quantitative analysis forecasting financial reporting presentation skills communication collaboration organizational skills attention to detail problem-solving interpersonal skills influencing others proactive approach big picture thinking financial modeling Workday business case development,Finance Manager
Excel organizational skills attention to detail adaptability communication GAAP account reconciliations financial statement audits journal entries financial schedules balance sheet analysis,Finance & Accounting - Staff Accountant
finance accounting budget preparation financial statements Microsoft Office accounting software financial forecasting data reconciliation financial analysis communication interpersonal skills leadership teamwork problem solving statistical data compilation ethical conduct discretion,Director of Finance
data analytics team management leadership communication problem solving collaboration strategic thinking adaptability financial strategy budgeting forecasting financial analysis capital expenditure planning business intelligence tools cost accounting standards (CAS) enterprise resource planning (ERP) financial metrics development financial reporting strategic planning innovation engagement,Senior Finance Manager
financial analysis financial planning data analysis cost-benefit analysis ROI calculations financial modeling customer experience optimization leadership communication teamwork organizational skills problem solving prioritization relationship building proactivity detail-oriented resourcefulness Microsoft Excel Hyperion Financial Systems management financial dashboard,"VP, Deposit Finance - Expense & Productivity"
Due Diligence Communication Professionalism Time Management Organizational Skills Attention to Detail Collaboration Project Finance Renewable Energy Projects Financing Documentation Purchase Agreements Partnership Agreements Credit Agreements Security Agreements Pledge Agreements Depositary Agreements Development Agreements PPAs EPCs Site Control Agreements Interconnection Agreements JD or LLM,Project Finance Associate - 1890298
accounting financial reporting financial statement preparation journal entries statutory reporting communication teamwork planning stakeholder engagement presentation skills problem solving SAP S4 HANA oil and gas industry knowledge Big 4 experience,Finance Accountant (Upstream oil and gas)
finance communication teamwork leadership problem solving interpersonal skills accounting financial analysis budgeting cost accounting inventory management project management internal controls compliance treasury data analysis adaptability initiative organization self-starter analytical thinking,IRNext Rotational Program - Finance
Microsoft Excel Microsoft Word Microsoft PowerPoint Database applications Communication Organizational skills Teamwork Professionalism Adaptability,Program Finance Intern
Treasury Operations Global Bank Account Management KYC AML FATCA ION IBAM Excel Project Management System Administration Data Consistency Analytical Skills Attention to Detail Communication Skills Interpersonal Skills Teamwork Organizational Skills Multitasking Problem Solving Training and Guidance,Treasury Manager - Finance
financial planning and analysis (FP&A) data analysis reporting solutions budgeting forecasting variance analytics business modeling data manipulation automation problem solving communication teamwork strategic thinking influencing adaptability analytical thinking collaboration SQL data infrastructure ownership,"Financial Analyst, Global Functions Finance"
financial management budgeting financial analysis P&L management reporting data analysis strategic planning performance metrics leadership communication collaboration problem solving adaptability team development influencing forecasting cost analysis M&A activity creativity change management storytelling,Finance Senior Director (Firm Client Service)
"financial analysis budget management financial reporting Microsoft Excel accounting principles business planning PowerPoint relationship management process optimization leadership communication critical thinking problem solving organizational skills team management independence collaboration presentation skills employee development data analytics revenue cycle management SQL statistical software (SPSS, SAS) financial modeling data mining healthcare finance","Director of Finance and Data Analytics, Penn Signature Services"
accounting finance communication teamwork leadership problem solving attention to detail time management financial statements tax returns QuickBooks portfolio monitoring investor relations compliance filings credit analysis fixed income public accounting,Senior Finance Associate
Training Development Communication Collaboration Problem Solving Leadership Interpersonal Skills Trust Building Coaching Stakeholder Management Adaptability SAP FICO S/4 HANA Financial Reporting Process Automation Agile Methodologies Business Requirements Documents (BRDs) Financial Analysis Technical Solutions Design Critical Analytics Detail-Oriented,Sr. SAP Finance Consultant/Architect
financial analysis budget management financial forecasting data analysis financial software GAAP communication analytical skills interpersonal skills collaboration problem solving innovation financial planning financial modeling advanced Excel eCommerce marketplace experience,Strategic Finance Manager
transaction management documentation review data entry financial analysis MS Excel sales support process improvement client service communication time management organizational skills multitasking self-motivation teamwork mentoring,Equipment Finance Sales Coordinator Sr - HTF
budgeting strategic planning leadership training methodologies communication teamwork problem solving influencing relationship building collaboration critical thinking financial reporting forecasting financial analysis cost control Microsoft Office pressure management performance evaluation,Director Business Finance
Data Analysis Business Process Improvement Data Accuracy Communication Interpersonal Skills Organizational Skills Problem Solving Multi-tasking Attention to Detail Decision Making Adaptability Oracle Cloud ERP Oracle Cloud EPM Google Looker Oracle Reporting Tools BI Publisher OTBI Financial Reporting Studio (FRS) Essbase SmartView Systems Testing General Ledger Meeting Facilitation,Sr Analyst - Finance Technology
